Waktu Tweet,Username,Tweet,Sentimen
2022-06-26 16:16:08,⚕️base anak fk | open dm📩,dok mau tanyaaa kalo misalnya tes hepatitis semua tapi sgot sgpt ningkat itu kenapaa ,Neutral
2022-06-26 14:02:24,billion store id,terbaik teraman supplement kesehatan kapsul spirulina kolesterol diabetes jantung hepatitis kapsulspirulina herbalspirulina obatherbal suplemenkesehatan,Positive
2022-06-26 12:19:45,lyndsay,ketua dpr puan maharani menyoroti sejumlah hal yang menjadi perhatian khusus dpr masa sidang kali ini termasuk kasus hepatitis akut anak ,Positive
2022-06-26 12:19:42,lyndsay,puan yang menyoroti hepatitis dan berbagai macam persoalan penting masyarakat membuktikan betapa pedulinya puan tentang persoalan dan permasalahan yang terjadi tanah air ,Neutral
2022-06-26 12:17:25,lyndsay,puan menyoroti kasus hepatitis akut anak harga pangan selama lebaran dan juga pemulihan ekonomi setelah pandemi covid mereda ,Positive
2022-06-26 11:20:51,syaza 🇲🇾,ambil ujian darah doktor kata darah semua cantik cholestrol okay semua hepatitis hiv semua negative lepas kalau nak cari duit extra boleh jual darah ,Positive
2022-06-26 11:17:15,jengkelin say no 🚫💉,vaksin gak pernah salah jadi katakan saja itu misterius rakyatmelawanmandatory who laporkan 920 kemungkinan kasus hepatitis akut misterius tersebar negara klik untuk baca ,Positive
2022-06-26 11:08:07,rs pondok indah,sempat ramai beberapa waktu lalu hepatitis misterius ternyata belum diketahui penyebabnya secara pasti biar lebih aware dengan gejala dari penyakit ini yuk tonton penjelasan lengkap dari prof hinky hindra irawan satari troppaed video ini ,Positive
2022-06-26 11:07:32,🦋,mulan hepatitis gunung ,Neutral
2022-06-26 11:05:22,nawa,byeeee semua bye gue udah stres minggu sama kertas kertas jahanam ini selamat tinggal blok gastrointestinal selamat tinggal lambung dan teman temannya gue mau lagi bahas kalian semua magh gerd hepatitis malnutrisi hemoroid appendisitis peritonitis dll ,Neutral
2022-06-26 10:20:14,ᗰᗩᗪᗩᗰ ᑎᘜᗴ̄ᕼᗴ̄, gila dan itu mmg benar banyak anak2 sudah vaksin justru kena hepatitis orang tua makin mudah sakit ,Negative
2022-06-26 09:24:49,jangantungguhaus, rilissehat patogen ini paling banyak ditemukan pada pasien hepatitis ,Neutral
2022-06-26 09:12:36,inisial d, kalau perawatan kecantikan udah sering dibahas jarang dibahas adalah soal perawatan kesehatannya pastikan udah vaksin hpv tetanus hepatitis cek ims pre marital medical check dll ,Positive
2022-06-26 08:36:42,hendi putra,genjot vaksinasi booster binda jateng vaksinasi covid tidak menyebabkan hepatitis akut ,Positive
2022-06-26 08:18:06,lina,hepatitis tidak terkait dengan vaksin vaksin 100 aman ,Positive
2022-06-26 07:23:35,pikiran rakyat,who peringatkan hepatitis misterius pada anak terus meningkat kenali gejalanya ,Neutral
2022-06-26 07:10:33,oke zone,hepatitis akut masih mengintai bunda ini cara pencegahannya ,Positive
